adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
m,h,m,0.48,0.32,0.2,2,WSA,17
m,h,h,0.4,0.4,0.2,2,WSA,18
h,l,l,0.5,0.38,0.12,2,WSA,19
h,l,m,0.38,0.42,0.2,2,WSA,20
h,l,h,0.3,0.5,0.2,2,WSA,21
h,m,l,0.38,0.42,0.2,2,WSA,22
h,m,m,0.26,0.46,0.28,2,WSA,23
h,m,h,0.1,0.7,0.2,2,WSA,24
h,h,l,0.56,0.34,0.1,2,WSA,25
h,h,m,0.44,0.38,0.18,2,WSA,26
h,h,h,0.75,0.2,0.05,2,WSA,27
l,l,l,0.5875,0.3455,0.067,2,WSAAHP,1
l,l,m,0.4351,0.4885,0.0764,2,WSAAHP,2
l,l,h,0.373,0.5057,0.1213,2,WSAAHP,3
l,m,l,0.3212,0.6065,0.0723,2,WSAAHP,4
l,m,m,0.2827,0.6315,0.0857,2,WSAAHP,5
l,m,h,0.2206,0.6487,0.1307,2,WSAAHP,6
l,h,l,0.349,0.338,0.313,2,WSAAHP,7
l,h,m,0.1966,0.4811,0.3223,2,WSAAHP,8
l,h,h,0.1345,0.4983,0.3672,2,WSAAHP,9
m,l,l,0.6541,0.2802,0.0657,2,WSAAHP,10
m,l,m,0.4255,0.4948,0.0797,2,WSAAHP,11
m,l,h,0.3634,0.5119,0.1247,2,WSAAHP,12
m,m,l,0.4255,0.4948,0.0797,2,WSAAHP,13
m,m,m,0.2731,0.6378,0.0891,2,WSAAHP,14
m,m,h,0.1179,0.6807,0.2014,2,WSAAHP,15
m,h,l,0.3394,0.3443,0.3163,2,WSAAHP,16
m,h,m,0.187,0.4874,0.3257,2,WSAAHP,17
m,h,h,0.1249,0.5045,0.3706,2,WSAAHP,18
h,l,l,0.5356,0.2951,0.1693,2,WSAAHP,19
h,l,m,0.3832,0.4381,0.1787,2,WSAAHP,20
h,l,h,0.3211,0.4553,0.2236,2,WSAAHP,21
h,m,l,0.3832,0.4381,0.1787,2,WSAAHP,22
h,m,m,0.2308,0.5811,0.1881,2,WSAAHP,23
h,m,h,0.0616,0.3545,0.5839,2,WSAAHP,24
h,h,l,0.2971,0.2876,0.4153,2,WSAAHP,25
h,h,m,0.1447,0.4307,0.4246,2,WSAAHP,26
h,h,h,0.0578,0.2617,0.6805,2,WSAAHP,27
l,l,l,0.7421,0.2503,0.0076,2,RNM,1
l,l,m,0.6681,0.3174,0.0145,2,RNM,2
l,l,h,0.5751,0.3977,0.0272,2,RNM,3
l,m,l,0.5751,0.3977,0.0272,2,RNM,4
l,m,m,0.3814,0.5322,0.0864,2,RNM,5
l,m,h,0.2014,0.5966,0.202,2,RNM,6
l,h,l,0.3814,0.5322,0.0864,2,RNM,7
l,h,m,0.2014,0.5966,0.202,2,RNM,8
l,h,h,0.0872,0.542,0.3708,2,RNM,9
m,l,l,0.6681,0.3174,0.0145,2,RNM,10
m,l,m,0.5751,0.3977,0.0272,2,RNM,11
m,l,h,0.4763,0.4751,0.0486,2,RNM,12
m,m,l,0.3814,0.5322,0.0864,2,RNM,13
m,m,m,0.2014,0.5966,0.202,2,RNM,14
m,m,h,0.1366,0.5819,0.2815,2,RNM,15
m,h,l,0.2014,0.5966,0.202,2,RNM,16
m,h,m,0.0872,0.542,0.3708,2,RNM,17
m,h,h,0.0304,0.4006,0.569,2,RNM,18
h,l,l,0.5751,0.3977,0.0272,2,RNM,19
h,l,m,0.4763,0.4751,0.0486,2,RNM,20
h,l,h,0.3814,0.5322,0.0864,2,RNM,21
h,m,l,0.2014,0.5966,0.202,2,RNM,22
h,m,m,0.1366,0.5819,0.2815,2,RNM,23
h,m,h,0.0872,0.542,0.3708,2,RNM,24
h,h,l,0.0872,0.542,0.3708,2,RNM,25
h,h,m,0.0304,0.4006,0.569,2,RNM,26
h,h,h,0.0084,0.2502,0.7414,2,RNM,27
l,l,l,0.8,0.1,0.1,3,WSA,1
l,l,m,0.56,0.26,0.18,3,WSA,2
l,l,h,0.56,0.24,0.2,3,WSA,3
l,m,l,0.54,0.28,0.18,3,WSA,4
l,m,m,0.6,0.3,0.1,3,WSA,5
l,m,h,0.44,0.28,0.28,3,WSA,6
l,h,l,0.52,0.28,0.2,3,WSA,7
l,h,m,0.42,0.3,0.28,3,WSA,8
